question,answer,category,difficulty
What is the transformer architecture?,The transformer is a neural network architecture that relies on self-attention mechanisms instead of recurrence or convolution. It consists of encoder and decoder stacks and was introduced in the paper 'Attention is All You Need' in 2017.,Deep Learning,Medium
What is BERT?,BERT (Bidirectional Encoder Representations from Transformers) is a pre-trained transformer model that reads text bidirectionally. It is pre-trained on masked language modeling and next sentence prediction.,NLP,Medium
What is fine-tuning?,Fine-tuning is the process of continuing to train a pre-trained model on a specific task or dataset. It adapts the general knowledge of the pre-trained model to a target domain or task.,Transfer Learning,Easy
What is LoRA?,LoRA (Low-Rank Adaptation) is a parameter-efficient fine-tuning method that adds small trainable rank decomposition matrices to transformer layers. It significantly reduces the number of trainable parameters.,LLM Fine-tuning,Hard
What is a knowledge graph?,A knowledge graph is a structured representation of knowledge as a graph of entities and their relationships. It enables complex multi-hop reasoning and is used in Graph RAG.,Knowledge Representation,Medium
What is BM25?,BM25 is a ranking function used in information retrieval to estimate the relevance of documents to a query. It is based on term frequency and inverse document frequency with length normalization.,Information Retrieval,Medium
What is HNSW?,HNSW (Hierarchical Navigable Small World) is a graph-based approximate nearest neighbor algorithm used for fast vector similarity search. It is the default index used by ChromaDB.,Vector Search,Hard
What is a cross-encoder?,A cross-encoder is a model that jointly encodes a query and a document together to produce a relevance score. It is more accurate than bi-encoders but slower since each pair must be processed separately.,Information Retrieval,Hard
What is semantic chunking?,Semantic chunking splits documents into chunks based on semantic similarity between sentences rather than fixed size. It creates more coherent chunks that are better suited for embedding and retrieval.,RAG,Medium
What is HyDE?,HyDE (Hypothetical Document Embeddings) generates a hypothetical answer to a query and uses its embedding for retrieval instead of the query embedding. This can improve retrieval quality for abstract or conceptual queries.,RAG,Hard
What is RAGAS?,RAGAS is a framework for evaluating RAG pipelines. It measures faithfulness (answer grounded in context), answer relevancy (answer addresses the question), and context relevancy (retrieved context is relevant).,RAG Evaluation,Medium
What is a bi-encoder?,A bi-encoder encodes queries and documents independently into dense vectors. It enables efficient similarity search using approximate nearest neighbor algorithms. It is faster than cross-encoders but less accurate.,Information Retrieval,Medium
What is Reciprocal Rank Fusion?,Reciprocal Rank Fusion (RRF) is a method for combining ranked lists from multiple retrieval systems. Each document's score is the sum of reciprocals of its ranks across all lists.,Hybrid Search,Hard
What is LangSmith?,LangSmith is a platform by LangChain for monitoring, tracing, and evaluating LLM applications. It captures inputs, outputs, and intermediate steps in LangChain pipelines.,Observability,Medium
What is RLHF?,RLHF (Reinforcement Learning from Human Feedback) is a technique for aligning LLMs with human preferences. Human raters compare model outputs and a reward model is trained to predict human preferences.,LLM Alignment,Hard
What is quantization in LLMs?,Quantization reduces the precision of model weights (e.g., from 32-bit to 4-bit or 8-bit floats) to reduce memory usage and increase inference speed. QLoRA uses 4-bit quantization for fine-tuning.,LLM Optimization,Hard
What is the context window?,The context window is the maximum number of tokens an LLM can process in a single input. Larger context windows allow more information but require more memory. GPT-4 has a 128K token context window.,LLM,Easy
What is perplexity in NLP?,Perplexity is a measure of how well a language model predicts a sample of text. Lower perplexity indicates better prediction. It is calculated as the exponentiated average negative log-likelihood per token.,NLP Evaluation,Hard
What is zero-shot learning?,Zero-shot learning refers to a model's ability to perform a task without any task-specific training examples. LLMs like GPT-4 can perform many NLP tasks zero-shot using only a task description.,Prompt Engineering,Easy
What is chain-of-thought prompting?,Chain-of-thought prompting encourages LLMs to solve problems step by step by including reasoning steps in the prompt. It significantly improves performance on mathematical and logical reasoning tasks.,Prompt Engineering,Medium
What is semantic similarity?,Semantic similarity measures how alike two pieces of text are in meaning. It is often computed as the cosine similarity between their embedding vectors. High similarity means the texts convey similar information.,Embeddings,Easy
What is a vector database?,A vector database stores and indexes high-dimensional vectors (embeddings) and supports efficient similarity search. Examples include ChromaDB, Pinecone, Weaviate, Qdrant, and FAISS.,Vector Search,Easy
What is approximate nearest neighbor search?,Approximate nearest neighbor (ANN) search finds vectors that are close to a query vector without exhaustively comparing all vectors. Algorithms like HNSW and IVF trade a small amount of accuracy for large speed gains.,Vector Search,Medium
What is LLaMA?,LLaMA (Large Language Model Meta AI) is a family of open-source large language models developed by Meta. LLaMA models are available in various sizes and can be run locally using tools like Ollama.,Open Source LLMs,Easy
What is Mistral?,Mistral 7B is a 7-billion parameter open-source language model developed by Mistral AI. It achieves performance comparable to larger models through architectural innovations like grouped-query attention and sliding window attention.,Open Source LLMs,Medium
What is a ReAct agent?,A ReAct agent interleaves reasoning (Thought) and action (Act) steps to solve complex tasks. The agent reasons about what to do, takes an action (e.g., retrieval or tool use), observes the result, and repeats.,AI Agents,Medium
What is few-shot prompting?,Few-shot prompting provides the LLM with a small number of example input-output pairs in the prompt to guide its behavior. It helps the model understand the desired format and style of the response.,Prompt Engineering,Easy
What is a system prompt?,A system prompt is an instruction given to an LLM at the beginning of a conversation to set its behavior, persona, and constraints. It is separate from the user's message and is typically not visible to the end user.,LLM,Easy
What is document ingestion in RAG?,Document ingestion is the process of loading, splitting, embedding, and storing documents in a vector database for later retrieval. It typically involves a document loader, text splitter, embedding model, and vector store.,RAG,Easy
What is metadata filtering in RAG?,Metadata filtering restricts vector search to documents matching specific metadata criteria (e.g., source, date, category). It improves retrieval precision by reducing the search space to relevant documents.,RAG,Medium
